lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100
# Adaptation terminated
# Step size = 0.689785
# Diagonal elements of inverse mass matrix:
# 0.00813359, 0.00712894, 0.00757927, 0.00668216, 0.00837888, 0.00814285, 0.00633742
-34.2562,0.794662,0.689785,3,7,0,37.9273,0.158067,0.496164,-0.522893,0.00606364,0.00513099,0.0281963,0.874803,-0.463234,-0.361922,-0.836343,1.23451,0.397069,0.605729,-0.651258,-0.962236,0.186119,-1.09012,0.536534,0.818498,-0.13654,-0.123901,0.959232,-0.197726,0.00395944,-0.0611634,-0.137654,0.0227292,0.145636,-0.139594,-0.928805,-1.57907,0.997801,-1.29107,-0.163508,-1.16518,1.09047,0.61089,0.318145,-0.25465,-0.421928,-0.972064,1.21285,0.904889,-1.25484,-0.216197,-0.636613,0.294325,0.139647,0.902298,0.664388,0.0758499,0.351654,-0.0146521,-0.963189,0.470472,0.833849,0.597464,-0.0782513,-1.12064,-0.342841,0.757293,-0.142137,-0.587013,0.0601335,-0.282306,0.0772408,-0.512206,0.0821437,-0.717014,-0.0716677,0.999475,-0.136079,-0.263943,-0.526823,0.7149,0.710633,0.0930344,-0.185418,0.524103,-0.0444775,-0.709417,0.00494966,0.738628,-0.105021,1.09385,-0.324008,0.293963,-0.412247,-0.324058,-0.364852,-0.0773152,-0.162754,0.0882777,-0.503504,-0.506397,0.0961243,-0.522293,-0.0471766,0.26592,-0.520656,0.689257,0.664577,1.13738,-1.38715,-0.552817,0.557195,0.909839
-32.1899,1,0.689785,3,7,0,35.2715,0.249101,0.336055,-0.455979,-0.0839173,-0.0598063,0.0742509,0.8413,-0.341756,0.0214482,-0.640788,1.00704,0.703373,0.52127,-0.567784,-0.561336,0.114746,-0.726852,0.756809,0.928464,-0.139559,0.0175842,0.755874,-0.0110377,-0.142194,0.347105,0.109151,0.149959,0.281886,0.12981,-0.643911,-1.24002,0.769006,-0.832048,-0.00231814,-0.87824,0.786163,0.479915,0.258856,0.0385208,-0.320823,-0.812418,1.11093,0.887587,-0.458437,0.0129868,-0.328571,0.176598,0.204159,0.6549,0.536628,0.145805,0.321951,-0.0139709,-0.643021,0.480878,0.579342,0.531542,0.0946614,-1.03179,-0.257637,0.971432,0.021356,-0.645649,0.304884,-0.233889,0.213312,-0.101801,0.160532,-0.554437,0.202737,0.872275,-0.00463473,0.0209032,-0.077948,0.753162,0.780072,0.339719,-0.0723074,0.705426,0.0523958,-0.395212,-0.118657,0.629427,0.0912157,1.04538,-0.108226,0.222008,-0.357487,0.107696,-0.375283,0.228913,-0.119121,0.204005,-0.230797,-0.187468,0.292894,-0.0652496,0.113814,0.300604,-0.526736,0.481397,0.59422,1.18334,-0.989652,-0.452204,0.614589,1.14718
-32.0996,0.922268,0.689785,2,7,0,34.6217,-0.00014475,0.280732,-0.456768,0.0274191,-0.0450589,0.0345475,0.801639,-0.48853,-0.404916,-0.661022,0.839969,0.424669,0.34705,-0.662016,-0.906835,-0.14087,-0.797684,0.528063,0.593483,-0.149107,-0.282001,0.420226,-0.175885,-0.20416,-0.121683,-0.507647,-0.176952,0.0679484,-0.2355,-0.78414,-1.40422,0.558606,-1.22036,-0.378457,-1.0084,0.505345,0.116728,0.0546461,-0.24371,-0.387341,-1.06772,0.819684,0.733891,-0.678467,-0.341313,-0.595826,0.00443692,0.0311327,0.526912,0.210679,-0.1397,-0.0631843,-0.279649,-0.786374,0.0193805,0.342964,0.244684,-0.261195,-1.12049,-0.383365,0.28672,-0.0584906,-0.628048,-0.121844,-0.370094,-0.064155,-0.540074,-0.0123476,-0.840758,-0.0855241,0.713553,-0.152078,-0.0411616,-0.371558,0.58164,0.469512,0.0697728,-0.097653,0.156609,-0.312759,-0.641476,-0.251017,0.352597,-0.116167,0.797168,-0.390957,0.138298,-0.446213,-0.288769,-0.459835,0.0497641,-0.204046,0.0625709,-0.380354,-0.409589,-0.0957951,-0.231052,-0.169145,0.172596,-0.570577,0.354489,0.339912,0.644667,-1.1723,-0.642417,0.228054,0.901216
-31.8298,0.986576,0.689785,3,7,0,34.5434,0.219874,0.262136,-0.304999,0.0506491,0.0231751,0.140478,0.865731,-0.271449,0.0470956,-0.252764,0.839245,0.238312,0.637079,0.0478356,-0.441427,0.0987155,-0.400154,0.337858,0.686103,0.261117,0.0041793,0.67501,0.0821197,0.00670622,0.112847,0.0829597,0.208809,0.161401,0.262741,-0.316198,-0.790449,0.565211,-0.681679,0.146258,-0.778018,0.807584,0.598351,0.49467,0.0144925,-0.233471,-0.52616,0.807322,0.662343,-0.444387,0.0159177,-0.387876,0.208556,0.0318807,1.02681,0.474512,-0.194677,0.105477,0.203218,-0.428858,0.319495,0.751606,0.639633,0.108339,-0.458745,-0.0631159,0.646708,0.224619,-0.118898,0.286283,-0.100907,0.188156,-0.167788,0.162635,-0.364409,0.121888,0.61433,0.168512,0.0679181,-0.232591,0.551048,0.703113,0.228655,-0.111533,0.264958,-0.0676535,-0.379944,0.264658,0.651687,0.266968,0.834529,0.0860753,0.322501,-0.174393,0.0474272,-0.263003,0.0562219,0.173644,0.223572,-0.119977,-0.0174187,0.0931344,-0.00125617,0.100476,0.187518,-0.139334,0.527603,0.465108,0.973251,-0.664377,0.0622659,0.335229,0.561415
-37.4334,0.596678,0.689785,2,3,0,39.5661,-0.0120368,0.224987,-0.602131,0.17979,0.0794352,0.0912214,0.860027,-0.638792,-0.530852,-0.494902,1.06835,0.41272,0.782413,-0.478955,-1.29956,-0.440351,-0.691817,0.61995,0.656068,0.253606,-0.563,0.338552,0.163813,-0.162976,-0.248162,-1.37096,-0.252646,0.0437083,-0.048422,-0.897445,-1.67668,0.531406,-1.7158,-0.519075,-1.25837,0.432344,0.0791924,0.245943,-0.537928,-0.33058,-1.23519,1.0571,0.94222,-0.486547,-0.571279,-0.918746,0.102509,-0.161917,1.10209,0.278373,-0.627563,-0.441423,-0.243114,-0.792824,-0.210416,0.470831,0.415603,-0.356503,-1.08442,-0.307257,-0.064359,0.315187,-0.231525,-0.214513,-0.34144,-0.180756,-0.894081,0.314739,-1.23212,-0.153651,0.945374,0.0439307,0.299613,-0.459176,0.859097,0.531373,0.238668,0.168977,-0.321388,-0.874749,-0.865508,0.0291763,0.344711,0.0553297,1.16145,-0.490273,0.549147,-0.358112,-0.394364,-0.632849,0.00260384,0.0905157,0.280805,-0.429699,-0.47974,-0.271455,-0.139801,-0.277643,0.338537,-0.550974,0.885782,0.191372,0.412367,-1.63669,-0.536889,0.0434496,0.992482
-35.126,0.922712,0.689785,3,7,0,40.2363,0.0224456,0.177775,-0.471923,-0.0137798,0.00976325,-0.0856681,0.858548,-0.323569,-0.403833,-0.597342,0.75032,0.676003,0.339372,-0.914761,-0.858843,-0.196461,-0.663356,0.760764,0.486275,-0.236315,-0.319714,0.231275,0.0897645,-0.0895039,0.0399828,-0.973566,-0.235105,0.152351,-0.202701,-0.837448,-1.28741,0.536535,-1.07646,-0.493164,-0.606754,0.140104,-0.13618,-0.138072,-0.388814,-0.124364,-0.799728,0.896307,0.706216,-0.304064,-0.361666,-0.398636,0.147716,0.122988,0.154675,0.278471,0.0904801,0.0301581,-0.328269,-0.567301,0.0509055,0.0385986,0.0665287,-0.215782,-1.03022,-0.286547,0.0931,-0.0243038,-0.46868,-0.194968,-0.20837,-0.1175,-0.493657,0.304256,-0.830529,-0.0572409,0.838915,-0.143243,0.146248,-0.0760741,0.683409,0.221504,0.248481,0.313793,0.194914,-0.393289,-0.435864,-0.287596,0.079537,-0.211347,0.835378,-0.546453,0.328607,-0.240346,-0.249971,-0.3311,0.13101,-0.199628,0.166386,-0.367623,-0.525965,0.0656585,-0.244113,-0.154915,0.396854,-0.619267,0.620163,0.183338,0.163372,-1.26861,-0.840633,0.2994,1.06631
-33.0888,0.996471,0.689785,3,7,0,37.2609,0.0201299,0.271095,-0.412229,-0.0399789,-0.16901,0.181808,0.876014,-0.608997,-0.119099,-0.691911,0.727107,0.472352,0.217866,-0.504801,-0.673693,-0.173444,-0.746516,0.510745,0.801184,-0.197847,-0.156531,0.428265,-0.350912,-0.51528,0.075004,0.162877,-0.0554134,0.0767967,-0.101086,-0.602775,-1.36418,0.391056,-1.03511,-0.184141,-1.23395,0.582739,0.213657,0.112982,0.111098,-0.63354,-1.28682,0.679107,0.73921,-0.446429,-0.160501,-0.561613,-0.282331,-0.0181416,0.575047,0.0207342,-0.2783,-0.161546,-0.304436,-0.826359,0.00997852,0.368014,0.313166,-0.194163,-1.28879,-0.492145,0.71434,-0.0510635,-0.989552,0.13228,-0.560504,0.0705505,-0.257406,-0.308637,-0.780956,0.090826,0.484695,-0.132281,-0.0605418,-0.303966,0.500978,0.752279,0.076135,-0.464614,0.338355,-0.153485,-0.626612,-0.432056,0.495834,0.063929,0.716313,-0.128925,-0.181234,-0.688706,0.0111411,-0.664021,0.205728,-0.278617,0.00193585,-0.236058,-0.104088,-0.0828289,0.0960463,-0.0826087,-0.0499812,-0.650032,-0.137588,0.425717,1.18557,-0.849026,-0.498038,0.230843,0.995117
-35.144,0.78732,0.689785,3,7,0,38.5588,-0.017931,0.421744,-0.36894,-0.0656692,-0.107941,0.18312,0.83574,-0.682386,-0.15803,-0.904072,0.724993,0.130017,0.210749,-0.501663,-0.707832,-0.0192911,-1.04376,0.180606,0.701746,-0.330429,-0.129075,0.678431,-0.529851,-0.473966,-0.0273196,0.485333,0.00107686,-0.0656967,-0.12205,-0.749085,-1.40529,0.487689,-1.01551,-0.0569652,-1.38147,0.867122,0.505709,0.188723,-0.0295859,-0.794768,-1.14696,0.677835,0.53778,-1.05397,-0.144685,-0.674392,-0.203434,-0.134093,0.670529,0.225698,-0.264251,0.0535052,-0.158458,-1.02016,0.259012,0.602582,0.433319,-0.140118,-1.21807,-0.561299,0.946422,-0.306028,-0.997462,0.166349,-0.593706,0.0352095,-0.291943,-0.4189,-0.658201,-0.067179,0.389752,-0.267942,-0.471693,-0.578402,0.295131,0.709107,-0.113086,-0.755001,0.465148,-0.0162373,-0.751826,-0.301489,0.619202,-0.0731673,0.632513,-0.145604,-0.262012,-0.760004,-0.137907,-0.679829,-0.136262,-0.376274,-0.185063,-0.463612,-0.282978,-0.0723619,-0.322393,-0.115386,-0.212135,-0.660971,-0.0936385,0.473467,1.36752,-0.978115,-0.423239,0.301297,0.578811
-34.5694,1,0.689785,3,7,0,36.5762,0.276172,0.219033,-0.495882,0.0980092,0.076599,0.00961947,0.814163,-0.191137,-0.183562,-0.237597,1.15198,0.668775,0.859649,-0.307646,-0.770767,0.00104034,-0.396582,0.823927,0.778841,0.32784,-0.15065,0.605859,0.395028,0.20081,0.122132,-0.824381,0.0645795,0.328974,0.18054,-0.556092,-1.11048,0.800466,-1.06212,-0.164625,-0.641174,0.625729,0.338083,0.390114,-0.220617,0.0463501,-0.627179,1.20261,1.01106,-0.237368,-0.174539,-0.398396,0.440115,0.209803,0.981051,0.603346,-0.0290218,0.0990901,0.0737237,-0.389775,0.239662,0.611953,0.564703,0.0187274,-0.640815,0.0119116,0.290019,0.403849,0.0362093,0.0836318,0.0345022,0.121045,-0.421636,0.579194,-0.674056,0.128035,1.10571,0.233171,0.421274,-0.0625555,0.967512,0.622619,0.468096,0.46383,0.176515,-0.335789,-0.379795,0.255195,0.517008,0.2006,1.21867,-0.20602,0.726467,0.0118744,-0.0803267,-0.172097,0.239396,0.258721,0.468464,-0.146735,-0.233204,0.156936,0.00200612,0.0602515,0.599186,-0.232062,1.0626,0.45192,0.556164,-1.13487,-0.297405,0.425489,1.10625
-34.8844,0.975884,0.689785,3,7,0,37.9942,-0.0646851,0.183566,-0.22605,-0.083793,-0.0150101,0.188808,0.923714,-0.56563,0.0927382,-0.582475,0.236102,0.0607704,0.172566,-0.29896,-0.400633,-0.264284,-0.584948,0.0666192,0.414788,-0.237075,-0.194186,0.243627,-0.181171,-0.524363,0.182064,0.176871,0.0156453,-0.129448,0.189998,-0.503871,-0.866383,0.019364,-0.544513,0.0252035,-0.936134,0.265114,0.255507,0.0841715,-0.121434,-0.601807,-0.65793,0.374387,0.176843,-0.280942,-0.085946,-0.48058,-0.242649,-0.328093,0.409817,0.109707,-0.450709,-0.141095,-0.0930365,-0.582925,0.144475,0.224704,0.269059,-0.0263953,-0.752066,-0.40183,0.714602,-0.134396,-0.612367,0.226289,-0.451742,-0.0487955,-0.0874564,-0.168479,-0.506673,-0.0251289,0.0801635,-0.152244,-0.234524,-0.242508,0.130185,0.398258,0.0470164,-0.523498,0.231818,-0.244739,-0.478527,-0.197983,0.232759,0.0190556,0.401678,-0.0745817,-0.175887,-0.547287,0.0875728,-0.68079,-0.166101,-0.235592,-0.127502,-0.343347,-0.163147,-0.0172542,-0.124314,-0.105827,-0.225449,-0.577505,-0.0293661,0.0536349,0.795945,-0.728062,-0.20443,0.11161,0.273518
