# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 01:35:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_data_2.json
# init = 2 (Default)
# random
#   seed = 1273692845 (Default)
# output
#   file = /Users/rob/.julia/dev/SR2StanPluto/tmp/bernoulli_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0-112-g06679e7e
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03357
# Diagonal elements of inverse mass matrix:
# 0.383605
-8.1115,0.898346,1.03357,1,1,0,8.11471,0.471868
-8.38287,0.973351,1.03357,2,3,0,8.4819,0.507947
-8.09564,1,1.03357,1,1,0,8.38715,0.469471
-8.71055,0.66818,1.03357,2,3,0,10.533,0.160948
-7.63817,0.97585,1.03357,1,3,0,8.75686,0.333081
-7.64118,0.990371,1.03357,2,3,0,7.69154,0.322831
-9.37858,0.637789,1.03357,1,3,0,9.673,0.600371
-8.17199,1,1.03357,1,1,0,9.04658,0.480665
-7.86834,1,1.03357,2,3,0,8.10855,0.429047
-8.46383,0.765414,1.03357,1,3,0,9.36514,0.178644
-9.12921,0.895333,1.03357,1,1,0,9.16367,0.137031
-7.89231,0.931282,1.03357,2,3,0,10.1132,0.434035
-7.64357,0.999448,1.03357,2,3,0,7.90357,0.31929
-7.64357,0.375664,1.03357,1,3,0,11.0523,0.31929
-7.97451,0.914274,1.03357,1,3,0,8.06272,0.449607
-8.90257,0.752631,1.03357,1,1,0,8.91778,0.561395
-8.02915,1,1.03357,1,1,0,8.66214,0.458941
-8.15215,0.963056,1.03357,1,1,0,8.2474,0.477838
-7.64145,0.986482,1.03357,2,3,0,8.23992,0.322373
-7.65867,0.996558,1.03357,1,3,0,7.65875,0.306183
-7.67589,0.991137,1.03357,1,3,0,7.72378,0.37135
-7.64457,0.993802,1.03357,2,3,0,7.7163,0.34885
-9.53899,0.539306,1.03357,1,3,0,10.4288,0.118558
-8.59862,1,1.03357,1,1,0,9.40992,0.16856
-9.87844,0.823077,1.03357,1,1,0,9.87899,0.105834
-9.00399,1,1.03357,1,1,0,9.81349,0.143548
-8.87608,1,1.03357,2,3,0,9.18874,0.15073
-7.64275,0.982028,1.03357,1,3,0,8.8843,0.320396
-7.71102,0.989722,1.03357,2,3,0,7.72243,0.386473
-8.25482,0.921051,1.03357,2,3,0,8.26748,0.196864
-8.25211,1,1.03357,2,3,0,8.39032,0.197125
-11.1362,0.72776,1.03357,2,3,0,11.7697,0.0717017
-9.71669,1,1.03357,1,1,0,11.0159,0.111649
-9.75407,0.995478,1.03357,1,1,0,10.1026,0.110267
-7.66508,0.969446,1.03357,1,3,0,9.81668,0.302295
-7.64123,0.998155,1.03357,1,3,0,7.67433,0.344029
-7.63819,0.999867,1.03357,2,3,0,7.64202,0.334254
-7.65517,0.995725,1.03357,1,3,0,7.65771,0.35872
-7.76397,0.976745,1.03357,1,3,0,7.76434,0.403569
-7.78248,0.994526,1.03357,1,1,0,7.81532,0.408681
-7.72751,1,1.03357,1,1,0,7.78298,0.392302
-7.65415,1,1.03357,1,3,0,7.70652,0.357942
-7.69668,0.983246,1.03357,1,3,0,7.75019,0.287969
-7.65852,0.985756,1.03357,2,3,0,7.80385,0.361144
-7.69821,0.881785,1.03357,2,3,0,8.2957,0.287396
-7.84353,0.988361,1.03357,2,3,0,7.84385,0.250584
-7.74353,0.977062,1.03357,2,3,0,8.07377,0.273065
