lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,b.3,b.4,b.5,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100
# Adaptation terminated
# Step size = 0.68977
# Diagonal elements of inverse mass matrix:
# 0.00812028, 0.00813517, 0.00624313, 0.00747482, 0.00760684, 0.0080585, 0.00519114
-32.713,0.934012,0.68977,2,3,0,38.7659,0.0935776,0.255755,-0.324168,-0.0198978,-0.092702,0.292451,0.860314,-0.599976,0.16962,-0.491145,0.65132,0.237235,0.424973,-0.0409316,-0.45971,-0.153612,-0.549899,0.280382,0.817801,0.0526507,-0.0773249,0.531411,-0.189304,-0.497607,0.203143,0.444072,0.157876,0.0380766,0.27626,-0.382252,-1.05918,0.273002,-0.774461,0.139178,-1.24025,0.708722,0.516601,0.392614,0.165553,-0.650512,-0.994894,0.633423,0.604296,-0.306528,0.00453527,-0.560886,-0.224809,-0.183144,0.966389,0.162588,-0.525312,-0.179524,-0.0094251,-0.668947,0.153875,0.612935,0.57569,0.0102021,-0.902154,-0.355199,0.948781,0.115806,-0.674287,0.391133,-0.473634,0.155118,-0.0811395,-0.21674,-0.581162,0.157389,0.330209,0.0413088,-0.0419037,-0.292301,0.419811,0.873313,0.152191,-0.577869,0.302614,-0.1544,-0.566423,-0.0958703,0.637905,0.301105,0.7291,0.141754,-0.0908188,-0.599688,0.205684,-0.697331,0.0879018,-0.0571967,0.0516757,-0.162728,0.0916622,-0.0308827,0.18812,0.0190715,-0.135032,-0.463091,-0.0200814,0.391233,1.37961,-0.663237,-0.0290813,0.212618,0.652666
-32.4075,0.974533,0.68977,3,7,0,34.7425,0.116068,0.2551,-0.319166,0.0214378,-0.0447828,0.289062,0.78498,-0.56315,0.154604,-0.400428,0.699039,0.163056,0.538728,0.0812209,-0.482704,-0.134459,-0.493102,0.233348,0.786609,0.180186,-0.0885121,0.568797,-0.099173,-0.393314,0.15618,0.327404,0.182946,0.0369122,0.331849,-0.351101,-0.997468,0.30548,-0.791701,0.16816,-1.20256,0.755254,0.580592,0.481016,0.104234,-0.58148,-0.89282,0.667553,0.606394,-0.338562,-0.00659535,-0.584636,-0.130012,-0.200198,1.11803,0.241116,-0.572801,-0.182031,0.0784893,-0.617706,0.1676,0.705045,0.646935,0.0340476,-0.751579,-0.277298,0.867706,0.192809,-0.474948,0.384246,-0.395335,0.152215,-0.133047,-0.118474,-0.556199,0.134352,0.371776,0.105432,-0.00292937,-0.324504,0.444206,0.861385,0.169747,-0.501667,0.212293,-0.204671,-0.56741,0.0604846,0.667377,0.342007,0.774048,0.157876,0.0356215,-0.504818,0.167371,-0.640827,0.0373395,0.0506594,0.101332,-0.159477,0.0852695,-0.0436058,0.156893,0.0256385,-0.0865637,-0.362229,0.146855,0.383584,1.30604,-0.686838,0.0796463,0.194099,0.557847
-33.4482,0.833837,0.68977,2,3,0,35.9427,0.00131903,0.146143,-0.423669,0.0774961,0.0103613,-0.0136699,0.833804,-0.350153,-0.416302,-0.402293,0.728966,0.466974,0.402198,-0.564021,-0.856892,-0.239576,-0.506529,0.582647,0.44505,0.0144926,-0.341242,0.193354,0.0733871,-0.0787071,-0.126049,-0.952006,-0.222966,0.0999557,-0.173835,-0.65647,-1.16246,0.436013,-1.12279,-0.448252,-0.701134,0.210089,-0.0828978,0.0135516,-0.328072,-0.146919,-0.848868,0.743352,0.68768,-0.299323,-0.384528,-0.49644,0.0838395,0.0389233,0.447778,0.161487,-0.168246,-0.181048,-0.271124,-0.524923,-0.124582,0.166055,0.143213,-0.265871,-0.856168,-0.228508,-0.0762419,0.123762,-0.297515,-0.21142,-0.21196,-0.113557,-0.570276,0.213897,-0.819373,-0.0766522,0.719817,-0.0391441,0.211408,-0.204348,0.623284,0.289381,0.174677,0.226041,-0.0780513,-0.482392,-0.499624,-0.145651,0.155246,-0.0705514,0.762969,-0.421124,0.33167,-0.226243,-0.27984,-0.335888,0.111826,-0.0474022,0.186998,-0.275399,-0.378597,-0.10893,-0.108657,-0.174628,0.310878,-0.436522,0.541013,0.169461,0.185551,-1.09228,-0.580882,0.115583,0.870918
-32.523,0.956711,0.68977,3,7,0,35.8891,0.00463532,0.320695,-0.46969,0.0614995,0.112182,0.135995,0.835081,-0.647368,-0.2576,-0.653298,0.857471,0.13463,0.682898,-0.391446,-0.993977,-0.257278,-0.836787,0.284096,0.592535,0.0420353,-0.391001,0.549549,0.0301559,-0.230878,-0.0603904,-0.623817,-0.053845,-0.0633918,0.143974,-0.865837,-1.43498,0.476438,-1.27678,-0.177199,-1.24071,0.615774,0.42094,0.311509,-0.488244,-0.500949,-0.883569,0.947564,0.605869,-0.748589,-0.343466,-0.824017,0.111269,-0.285599,1.03023,0.472557,-0.54521,-0.135257,-0.0179563,-0.817897,0.179964,0.615068,0.541003,-0.125481,-0.89542,-0.344115,0.483949,0.0536585,-0.30569,0.0509309,-0.356683,-0.114909,-0.585921,0.189608,-0.889961,-0.1612,0.67058,-0.056543,-0.102476,-0.503187,0.55786,0.526515,0.145805,-0.202883,0.0328225,-0.564341,-0.786759,0.117865,0.445337,0.0127148,0.970503,-0.320267,0.342313,-0.42856,-0.251138,-0.664474,-0.262657,-0.0286511,0.0815823,-0.541294,-0.471217,-0.0913983,-0.389035,-0.188561,0.102833,-0.567271,0.744482,0.208396,0.746158,-1.46789,-0.326131,0.196478,0.538608
-31.1074,0.80273,0.68977,2,3,0,36.1509,0.185747,0.366842,-0.450987,-0.0372169,0.0239857,0.0783101,0.829336,-0.414698,-0.0775317,-0.662704,0.989864,0.455924,0.608607,-0.496865,-0.699177,0.0640688,-0.808113,0.548994,0.796185,-0.0822365,-0.0913232,0.773218,0.00521953,-0.0998774,0.199282,-0.0875276,0.113572,0.161275,0.143939,-0.738295,-1.27951,0.738523,-0.952594,-0.0181971,-0.971779,0.814632,0.547686,0.313471,-0.174594,-0.362523,-0.742037,1.09369,0.767521,-0.692367,-0.0871544,-0.487059,0.232002,0.0499685,0.814472,0.611929,-0.0293875,0.266269,0.0518143,-0.709599,0.473774,0.668567,0.581042,0.0593121,-0.918007,-0.261551,0.852136,-0.00523985,-0.469377,0.232802,-0.231842,0.111987,-0.263962,0.201528,-0.605125,0.0559097,0.829506,-0.0293705,-0.0908731,-0.258407,0.670534,0.680493,0.257027,-0.11894,0.528085,-0.0995966,-0.521055,0.0363591,0.608476,0.0402522,1.02984,-0.178939,0.300036,-0.342137,-0.0463158,-0.420559,-0.00321653,-0.0787048,0.151173,-0.372497,-0.325598,0.199115,-0.278588,0.0275715,0.246313,-0.504091,0.652899,0.496412,1.05158,-1.17408,-0.378046,0.522944,0.859791
-33.8345,0.788269,0.68977,2,3,0,34.5012,0.298928,0.310969,-0.466651,-0.0595509,-0.0380788,0.184728,0.908433,-0.422189,0.210777,-0.529545,1.03994,0.679205,0.710883,-0.300455,-0.519312,0.0222584,-0.601576,0.742321,1.06492,0.0624428,0.0136187,0.788864,0.117479,-0.230879,0.462731,0.179325,0.262285,0.287093,0.39822,-0.540025,-1.2162,0.680893,-0.8253,0.150115,-1.03592,0.845748,0.623463,0.449872,0.104065,-0.386273,-0.838314,1.16205,0.9396,-0.230423,0.0800695,-0.4039,0.141765,0.0839169,1.00473,0.566309,-0.126042,0.181144,0.103081,-0.595512,0.482718,0.725254,0.722603,0.181888,-0.956621,-0.216031,1.13755,0.218552,-0.541235,0.48415,-0.252736,0.272144,-0.0287462,0.220161,-0.587877,0.292389,0.8432,0.140415,0.153142,-0.0463714,0.818971,0.970026,0.456888,-0.135749,0.643211,-0.0601092,-0.425727,0.0281752,0.743857,0.310205,1.17761,0.0585025,0.29141,-0.377329,0.279373,-0.515188,0.253479,0.0345355,0.291549,-0.158861,-0.0215639,0.290746,0.133405,0.164687,0.269301,-0.491483,0.544593,0.582976,1.40231,-0.968462,-0.205576,0.582314,1.14099
-33.3731,0.995361,0.68977,3,7,0,35.6954,0.0833623,0.159401,-0.218264,0.0188682,0.0893367,0.181754,0.793021,-0.377435,0.153542,-0.243282,0.436337,0.0195538,0.531735,0.0865556,-0.357489,-0.151141,-0.314023,0.0879373,0.442982,0.17719,-0.133948,0.384578,0.146603,-0.193466,0.173014,-0.0518674,0.157382,-0.023054,0.41483,-0.314274,-0.61902,0.169118,-0.495475,0.167238,-0.735229,0.424572,0.455571,0.374339,-0.154138,-0.325513,-0.345214,0.53999,0.29811,-0.17876,-0.0239103,-0.430621,0.0584955,-0.263206,0.847407,0.353023,-0.47859,-0.0909486,0.185215,-0.34183,0.228299,0.499982,0.510587,0.111871,-0.311042,-0.116311,0.576642,0.175946,-0.0467071,0.295115,-0.171494,0.039672,-0.114885,0.167005,-0.372631,0.0328257,0.277601,0.110348,0.00680192,-0.190914,0.304185,0.4662,0.203539,-0.214031,0.085692,-0.293169,-0.372477,0.245198,0.375238,0.227634,0.605925,0.059071,0.223184,-0.222067,0.108471,-0.453952,-0.147195,0.125698,0.106208,-0.210681,-0.0591048,0.0383522,-0.0456145,0.00442091,-0.00019497,-0.243245,0.445331,0.117877,0.685412,-0.668849,0.137553,0.144099,0.193138
-30.5673,1,0.68977,2,3,0,33.9777,0.0940315,0.165338,-0.38459,0.0241534,-0.0390629,0.159519,0.783322,-0.452198,-0.0239682,-0.374166,0.705886,0.451235,0.483641,-0.247612,-0.602141,-0.225487,-0.426558,0.524716,0.703545,0.101026,-0.189174,0.346008,0.05099,-0.297997,0.149057,-0.27589,0.0155817,0.122228,0.167705,-0.46065,-1.06734,0.334482,-0.894819,-0.10743,-0.932444,0.419983,0.220257,0.243139,-0.031588,-0.355198,-0.892657,0.739718,0.701842,-0.0865066,-0.141485,-0.483729,-0.0574843,-0.0602889,0.760135,0.180058,-0.369189,-0.202208,-0.108354,-0.51525,0.0270991,0.384077,0.402342,-0.0716291,-0.847928,-0.245771,0.491194,0.224111,-0.437353,0.167225,-0.310171,0.063364,-0.25267,0.0850939,-0.697549,0.119647,0.561148,0.0771283,0.209771,-0.136801,0.59848,0.641657,0.270372,-0.0999919,0.133598,-0.34298,-0.474877,-0.0893937,0.405944,0.20551,0.823304,-0.0811438,0.182473,-0.374382,0.074894,-0.528463,0.18375,0.0143244,0.197227,-0.149119,-0.0627557,-0.0157215,0.170782,-0.0294231,0.141979,-0.438179,0.315304,0.277319,0.812507,-0.845187,-0.251038,0.190547,0.86341
-32.348,0.850196,0.68977,2,7,0,33.2394,0.00566252,0.272079,-0.46418,0.0192367,-0.0228547,0.215151,0.888784,-0.712583,-0.122757,-0.656169,0.785435,0.313642,0.518625,-0.382327,-0.862943,-0.32565,-0.756195,0.410588,0.75744,-0.015556,-0.323793,0.448366,-0.108021,-0.473576,0.0577925,-0.281291,-0.0424343,-0.00981347,0.129928,-0.731044,-1.45766,0.349769,-1.21122,-0.160021,-1.35874,0.56029,0.321601,0.25754,-0.188404,-0.631341,-1.1682,0.83009,0.696609,-0.451425,-0.260674,-0.765044,-0.148423,-0.240984,0.930578,0.215011,-0.587632,-0.274898,-0.16175,-0.831027,0.0443685,0.500003,0.477912,-0.156594,-1.13261,-0.439442,0.646813,0.0861536,-0.653507,0.148128,-0.512045,-0.0280945,-0.419377,-0.0440718,-0.924877,-0.00767542,0.553894,-0.0501584,-0.00787381,-0.389435,0.564243,0.711243,0.166656,-0.370489,0.122738,-0.477823,-0.755668,-0.146083,0.478141,0.121541,0.907521,-0.18821,0.0912995,-0.6111,-0.0487564,-0.790858,-0.0157612,-0.113891,0.0707092,-0.37933,-0.236268,-0.115224,-0.045409,-0.145381,-0.00283085,-0.655863,0.309149,0.269597,1.03529,-1.21119,-0.356711,0.167397,0.801489
-32.1764,0.988135,0.68977,3,7,0,34.535,0.205282,0.220424,-0.310481,0.00937533,-0.0265078,0.0429834,0.750089,-0.164038,-0.0452567,-0.291031,0.786674,0.447839,0.454391,-0.230147,-0.413468,0.124043,-0.39323,0.517685,0.630183,0.0862147,0.0219517,0.547742,0.052668,0.0398193,0.132692,-0.0403674,0.110934,0.229834,0.072713,-0.351279,-0.780389,0.59482,-0.627539,-0.00907467,-0.552194,0.616743,0.357811,0.274845,0.0381595,-0.116117,-0.529796,0.777345,0.686895,-0.337547,-0.0104008,-0.232564,0.201717,0.193192,0.618319,0.382917,0.0818384,0.185587,0.0445243,-0.376968,0.268597,0.498115,0.418529,0.0477504,-0.572914,-0.0795555,0.497673,0.134369,-0.25341,0.162064,-0.0733974,0.168798,-0.14866,0.166331,-0.359045,0.138786,0.671323,0.0873961,0.11299,-0.090758,0.577168,0.560503,0.23493,0.0572294,0.35191,0.0134925,-0.264444,0.0514706,0.491388,0.129164,0.756451,-0.0403027,0.272785,-0.137427,0.0157689,-0.146232,0.192163,0.0508973,0.219489,-0.0869903,-0.0802054,0.146794,0.00672903,0.092888,0.281312,-0.202736,0.436515,0.45539,0.744482,-0.617721,-0.203503,0.379751,0.771239
