# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 0
# model = m7x469s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_data_2.R
# init = 2 (Default)
# random
#   seed = 2924501525 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m7.9s_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 c83c399
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b.1,b.2,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20
# Adaptation terminated
# Step size = 0.600789
# Diagonal elements of inverse mass matrix:
# 0.0641349, 0.0737274, 0.0704722, 0.0298993
-12.4114,0.994261,0.600789,3,7,0,13.1245,0.0967444,0.0332897,-0.437366,0.94889,0.412701,0.298938,-0.489624,0.397222,0.108759,0.360048,0.0795562,-0.694686,0.478995,0.91903,0.322733,0.207905,-0.809037,0.258518,0.276223,-0.122231,0.221725,-0.396351,-0.651844,0.40652,-1.22779,-2.64036,-0.963867,-1.85761,-1.5275,-1.2418,-1.04829,-0.962237,-3.07466,-1.06621,-4.46478,-0.914769,-1.52762,-0.874815,-1.16612,-1.27535,-1.33386,-0.878635,-0.874038,-0.867512
-12.0791,0.971224,0.600789,3,7,0,13.1854,-0.266928,-0.00455436,-0.0924946,1.12006,-0.194656,-0.227035,-0.367706,-0.203379,-0.270733,-0.228791,-0.276803,-0.427242,-0.191227,-0.0881079,-0.213775,-0.255156,-0.450501,-0.229174,-0.233872,-0.328727,-0.210428,-0.364293,-0.415365,-0.202466,-1.04815,-3.16504,-1.06745,-1.24785,-1.23411,-1.82577,-1.37596,-1.21808,-1.73085,-1.09847,-2.64096,-1.26129,-1.8699,-1.08546,-1.0524,-1.484,-1.75823,-1.04524,-1.08203,-1.15991
-11.6386,0.913112,0.600789,1,3,0,13.9195,-0.0332818,0.210276,-0.248686,1.09719,0.0563721,0.129,-0.750032,0.137502,0.0782691,0.406017,0.0599304,-0.599786,0.268845,0.35303,0.0067429,0.223612,-0.680057,0.000249357,0.149641,0.0978446,-0.458455,-0.427792,-0.621909,0.160182,-1.09591,-2.60274,-1.20329,-1.49279,-1.47885,-1.2619,-1.15717,-1.11979,-2.33351,-1.01217,-3.0763,-1.04407,-1.63,-1.01935,-1.16522,-1.18075,-2.07178,-1.01733,-1.02063,-1.02883
-14.0122,0.87359,0.600789,2,3,0,14.2881,0.0949842,0.584389,-0.0335538,1.30315,-0.154438,0.254366,-1.11564,0.117831,0.414329,0.995731,0.406816,-0.319969,0.382101,-0.0889557,-0.156697,0.692463,-0.375117,-0.0703445,0.354662,0.855501,-1.40435,-0.289903,-0.458024,0.171433,-1.20061,-2.17174,-1.50512,-1.51241,-1.75801,-1.19396,-1.20139,-1.36747,-2.2435,-1.2328,-2.44058,-1.19431,-1.8685,-1.19626,-1.37833,-1.18794,-3.08849,-1.20278,-1.21211,-1.19456
-14.8801,0.963712,0.600789,3,7,0,18.0042,-0.355831,-0.581805,-0.439466,1.14468,0.251024,-0.3048,0.287573,-0.0536926,-0.680471,-1.02239,-0.704238,-0.776478,-0.244343,0.731615,0.155713,-0.866916,-0.84234,-0.00533193,-0.435523,-1.39782,1.36534,-0.484302,-0.58397,-0.100277,-1.2128,-3.23562,-1.10309,-1.35298,-1.08883,-2.90863,-1.75571,-1.0965,-1.67028,-1.11894,-3.21286,-1.76998,-1.48107,-1.06169,-1.05427,-2.79127,-1.07359,-1.05544,-1.06707,-1.13608
-13.9578,0.982103,0.600789,3,7,0,16.6908,0.277063,0.394851,-0.376789,1.31333,0.377033,0.541795,-0.961672,0.535794,0.48781,1.05806,0.459333,-0.627685,0.768609,0.829996,0.302447,0.743478,-0.755384,0.304572,0.586443,0.577613,-0.564889,-0.366154,-0.67973,0.577089,-1.3638,-1.88295,-1.42155,-1.82179,-1.81799,-1.19597,-1.20224,-1.25892,-2.70335,-1.26711,-3.04006,-1.20829,-1.5714,-1.19974,-1.50793,-1.19876,-2.03325,-1.2007,-1.19379,-1.20475
-13.3562,1,0.600789,3,7,0,14.6384,0.0880643,0.509173,-0.0853791,1.23833,-0.0866864,0.251831,-1.03345,0.146543,0.36551,0.90021,0.355254,-0.372474,0.385402,0.0351687,-0.100238,0.618587,-0.434862,-0.0339132,0.335552,0.716877,-1.19116,-0.308033,-0.486223,0.194052,-1.16348,-2.22989,-1.43484,-1.51676,-1.725,-1.15862,-1.16137,-1.31004,-2.31042,-1.15902,-2.6017,-1.13707,-1.83279,-1.14211,-1.33821,-1.13282,-2.90332,-1.15091,-1.15869,-1.14204
-14.3076,0.947269,0.600789,3,7,0,14.913,-0.467035,-0.316647,-0.552956,0.92744,0.101154,-0.300108,-0.489691,-0.0870178,-0.648171,-0.67705,-0.68184,-1.24922,-0.142703,0.724874,-0.0154556,-0.689618,-1.3652,-0.15292,-0.391739,-1.22314,0.621311,-0.876468,-1.10791,-0.107872,-0.986092,-4.15385,-0.945593,-1.26531,-0.9085,-2.85298,-1.87744,-0.854887,-1.93848,-0.93923,-3.67592,-1.67014,-1.00997,-0.892125,-0.84619,-3.0744,-0.999488,-0.90774,-0.910561,-0.972675
-14.0272,0.994377,0.600789,3,7,0,15.8716,-0.106285,0.054406,-0.302096,1.52755,0.0971776,0.041141,-0.574229,0.101249,-0.0807951,0.123123,-0.10125,-0.672063,0.17166,0.448345,0.0352852,0.00229202,-0.753551,-0.00414089,0.0309601,-0.215568,-0.101422,-0.465611,-0.650102,0.110527,-1.39428,-2.23879,-1.3969,-1.57437,-1.51674,-1.58293,-1.4641,-1.38369,-1.95227,-1.34617,-2.4352,-1.39628,-1.62432,-1.34681,-1.39391,-1.53656,-1.67238,-1.34393,-1.34561,-1.3563
-13.4235,0.997186,0.600789,3,7,0,15.6189,-0.457208,-0.222736,-0.446283,0.921102,-0.0140696,-0.314367,-0.541255,-0.150513,-0.585436,-0.57703,-0.612907,-1.10849,-0.1809,0.490829,-0.107922,-0.603625,-1.20471,-0.213718,-0.382564,-1.0236,0.336052,-0.807236,-1.00241,-0.16436,-0.92179,-4.23293,-0.967167,-1.20291,-0.929563,-2.66059,-1.7793,-0.836755,-1.88582,-0.854094,-3.47264,-1.5582,-1.12179,-0.908818,-0.840138,-2.66108,-1.21684,-0.87749,-0.868987,-1.00085
-15.6833,0.814677,0.600789,3,7,0,17.3624,0.398827,0.644988,-0.0121172,1.362,0.104648,0.563686,-0.907727,0.406923,0.75164,1.38085,0.744993,-0.0152238,0.69478,0.148163,0.107296,1.05385,-0.0697272,0.206558,0.676008,1.25321,-1.26802,0.000987923,-0.170497,0.465727,-1.29489,-1.85271,-1.41667,-1.71598,-2.03824,-1.23853,-1.23024,-1.55091,-2.5442,-1.23579,-2.6913,-1.30974,-2.13098,-1.22924,-1.57472,-1.30004,-2.7897,-1.30804,-1.32429,-1.23072
-12.4263,0.972885,0.600789,3,7,0,17.6391,-0.452157,-0.00970688,-0.220606,0.956916,-0.280326,-0.356723,-0.694833,-0.300588,-0.460599,-0.359449,-0.475088,-0.835219,-0.271091,-0.026149,-0.325917,-0.42291,-0.890785,-0.362464,-0.372828,-0.598008,-0.320398,-0.685067,-0.807172,-0.298306,-0.881946,-4.13364,-1.08751,-1.09727,-1.0235,-2.17261,-1.56824,-0.916113,-1.71994,-0.940059,-2.83964,-1.34282,-1.43123,-1.01056,-0.878892,-1.84638,-2.0381,-0.885716,-0.875714,-1.11393
-12.9183,0.875967,0.600789,3,7,0,15.9979,0.16162,0.227403,-0.419568,1.25032,0.372783,0.403919,-0.792484,0.449801,0.280119,0.710029,0.250334,-0.716611,0.614921,0.867456,0.288035,0.466115,-0.841889,0.257098,0.416408,0.212695,-0.225408,-0.428005,-0.722997,0.476489,-1.33035,-2.04752,-1.3089,-1.75901,-1.65204,-1.21363,-1.19387,-1.19182,-2.59345,-1.23844,-3.15869,-1.14277,-1.50054,-1.14703,-1.38707,-1.22987,-1.73788,-1.14666,-1.143,-1.14643
-12.6501,0.98432,0.600789,2,7,0,13.5584,-0.107861,0.107072,-0.436344,1.32247,0.172619,0.112124,-0.84083,0.191889,-0.0554526,0.266608,-0.0852562,-0.942411,0.306222,0.681146,0.0834493,0.0778038,-1.06238,0.0309719,0.102415,-0.227649,-0.17472,-0.643861,-0.917611,0.207879,-1.2902,-2.31257,-1.36794,-1.56391,-1.44402,-1.43809,-1.35373,-1.20646,-2.14681,-1.23587,-2.71904,-1.25008,-1.3991,-1.20159,-1.28834,-1.46383,-1.69195,-1.20127,-1.20479,-1.20535
-12.276,0.997299,0.600789,2,7,0,13.0937,0.0308115,0.259896,-0.473324,1.13521,0.267449,0.304985,-1.05226,0.355914,0.166331,0.654566,0.132699,-0.961984,0.543678,0.825655,0.17187,0.377719,-1.10358,0.137497,0.319662,0.0929173,-0.414512,-0.63636,-0.970003,0.386326,-1.21547,-2.27677,-1.41946,-1.69608,-1.55763,-1.15376,-1.15029,-1.05425,-2.69028,-1.14523,-3.27066,-1.05183,-1.29195,-1.04576,-1.2806,-1.20613,-1.9823,-1.04904,-1.0615,-1.04596
-14.2313,0.875183,0.600789,3,7,0,14.8561,-0.449205,-0.0506117,-0.511514,1.48517,-0.0375659,-0.234875,-0.955591,-0.0977547,-0.48416,-0.27678,-0.517502,-1.32029,-0.0418245,0.550503,-0.143502,-0.40984,-1.44689,-0.232652,-0.277145,-0.824934,-0.0708123,-0.972485,-1.24844,-0.0950203,-1.34325,-2.53572,-1.49191,-1.47479,-1.37071,-1.79697,-1.62438,-1.32449,-1.8065,-1.32658,-2.29453,-1.50327,-1.36104,-1.34527,-1.32191,-1.86667,-1.64633,-1.35602,-1.36667,-1.36209
-12.8563,0.968965,0.600789,3,7,0,16.1475,-0.03882,0.00359717,-0.211575,0.832424,0.119906,0.0558981,-0.297419,0.10654,-0.0398527,0.0696252,-0.053866,-0.414058,0.140552,0.364268,0.0762838,0.00229393,-0.468379,0.0432581,0.0427164,-0.161457,0.0540735,-0.269894,-0.390295,0.109901,-0.92604,-3.71001,-0.77257,-1.52394,-1.3764,-1.62866,-1.0948,-1.08496,-2.71351,-0.736984,-4.54963,-0.916286,-2.21477,-0.741727,-0.916685,-1.3165,-1.58509,-0.789867,-0.83876,-0.781867
-12.7567,0.980523,0.600789,3,7,0,13.9018,-0.0760231,0.367379,-0.473765,1.22655,0.110396,0.224923,-1.37495,0.249345,0.118313,0.710611,0.0836777,-1.13503,0.484836,0.674031,0.0155833,0.37976,-1.28531,-0.00199783,0.258422,0.129411,-0.799876,-0.807784,-1.16911,0.289533,-1.20768,-2.27456,-1.68838,-1.59228,-1.52572,-1.19705,-1.2304,-1.12336,-2.45248,-1.16497,-2.78835,-1.12818,-1.24879,-1.12947,-1.29389,-1.24537,-2.37272,-1.14622,-1.17648,-1.12496
