# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = m2x460s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_data_1.R
# init = 2 (Default)
# random
#   seed = 2571393543 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# num_threads = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.06511
# Diagonal elements of inverse mass matrix:
# 0.438899
-7.27933,0.99615,1.06511,2,3,0,7.28336,0.688958
-7.6949,0.885218,1.06511,1,3,0,7.88581,0.488752
-7.36595,1,1.06511,1,1,0,7.60378,0.553438
-7.3451,1,1.06511,1,1,0,7.40045,0.559285
-8.4192,0.693803,1.06511,1,1,0,8.41927,0.403552
-7.52552,1,1.06511,2,3,0,8.3016,0.744834
-7.737,0.948238,1.06511,1,1,0,7.78512,0.773401
-8.57228,0.771907,1.06511,1,3,0,9.57799,0.389664
-7.48266,1,1.06511,1,1,0,8.21716,0.526146
-7.99271,0.840089,1.06511,1,1,0,8.03415,0.448581
-7.21074,1,1.06511,1,3,0,7.81056,0.640652
-7.40577,0.870123,1.06511,2,3,0,7.8516,0.723084
-7.50319,0.58334,1.06511,2,3,0,10.3171,0.7412
-7.96262,0.964269,1.06511,2,3,0,7.97848,0.796644
-7.23039,1,1.06511,1,3,0,7.80747,0.66508
-7.25219,0.997809,1.06511,2,3,0,7.25536,0.677577
-7.29141,0.995873,1.06511,2,3,0,7.29145,0.576818
-7.92287,0.900336,1.06511,2,3,0,7.92295,0.457153
-7.21891,0.85972,1.06511,2,3,0,8.62054,0.617191
-7.21043,0.995522,1.06511,2,3,0,7.24035,0.638691
-8.30617,0.732418,1.06511,1,3,0,8.51934,0.82414
-7.84806,1,1.06511,1,1,0,8.27886,0.785525
-7.43289,1,1.06511,2,3,0,7.72685,0.536892
-9.10911,0.567188,1.06511,1,1,0,9.10928,0.347329
-7.83946,1,1.06511,2,3,0,8.77206,0.468
-7.37005,1,1.06511,1,1,0,7.69448,0.552333
-8.96065,0.736575,1.06511,2,3,0,9.06024,0.861959
-7.77538,1,1.06511,2,3,0,8.6183,0.476856
-8.28011,0.842954,1.06511,1,1,0,8.40909,0.417085
-7.44016,1,1.06511,1,1,0,8.00938,0.535253
-7.30345,0.910047,1.06511,2,3,0,7.9221,0.697181
-7.21089,0.998078,1.06511,1,3,0,7.29081,0.63138
