# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = m2x460s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_data_3.R
# init = 2 (Default)
# random
#   seed = 2571393543 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# num_threads = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.16949
# Diagonal elements of inverse mass matrix:
# 0.332025
-7.21332,1,1.16949,1,3,0,7.35152,0.64758
-7.21332,0.674833,1.16949,1,3,0,8.54652,0.64758
-7.47581,0.42618,1.16949,2,3,0,11.435,0.736514
-7.91438,0.904557,1.16949,1,1,0,7.92129,0.792111
-7.32096,0.999761,1.16949,1,3,0,7.77727,0.70245
-8.32349,0.745147,1.16949,1,3,0,8.7931,0.412762
-7.42077,1,1.16949,1,1,0,8.04524,0.539683
-7.45641,0.851363,1.16949,2,3,0,8.23805,0.733022
-7.75622,0.932338,1.16949,1,1,0,7.77142,0.77561
-7.87608,0.89003,1.16949,1,3,0,8.88091,0.463149
-7.5243,1,1.16949,2,3,0,7.8165,0.517886
-8.73005,0.688815,1.16949,1,1,0,8.73586,0.37629
-8.33357,0.613107,1.16949,2,3,0,11.9231,0.411771
-7.24604,0.988475,1.16949,2,3,0,8.42806,0.67449
-7.21514,0.995721,1.16949,2,3,0,7.27494,0.650556
-7.21958,0.996093,1.16949,2,3,0,7.23886,0.655961
-10.7262,0.526965,1.16949,2,3,0,10.967,0.920929
-8.94636,1,1.16949,1,1,0,10.5079,0.861271
-7.30815,0.918532,1.16949,1,3,0,9.39561,0.570866
-7.21119,1,1.16949,1,3,0,7.28742,0.63022
-7.28163,0.980572,1.16949,1,3,0,7.30098,0.6898
-8.39708,0.829034,1.16949,2,3,0,8.71818,0.405643
-9.38365,0.916852,1.16949,2,3,0,9.59315,0.32862
-8.36281,1,1.16949,1,1,0,9.28277,0.408926
-7.31997,1,1.16949,1,3,0,8.04452,0.566958
-7.31997,0.90179,1.16949,1,1,0,7.55484,0.566958
-7.24622,1,1.16949,1,1,0,7.30037,0.596956
-7.33526,0.932056,1.16949,2,3,0,7.59562,0.562199
-7.50128,0.949919,1.16949,1,1,0,7.51826,0.52238
-7.49892,1,1.16949,1,1,0,7.58861,0.52285
-7.70026,0.979704,1.16949,2,3,0,7.75901,0.487929
-7.85004,0.799146,1.16949,1,3,0,8.89586,0.785728
-7.456,1,1.16949,1,1,0,7.76641,0.732946
-8.79489,0.785918,1.16949,1,3,0,8.84403,0.853662
-9.75686,0.957983,1.16949,2,3,0,9.8408,0.893841
-8.94021,1,1.16949,1,1,0,9.77011,0.860974
-10.5564,0.812898,1.16949,1,1,0,10.5732,0.916856
-10.6758,0.988872,1.16949,1,1,0,11.169,0.919745
-7.23949,0.85695,1.16949,1,3,0,10.8583,0.670883
-7.73461,0.867326,1.16949,1,3,0,7.90859,0.482765
-7.35985,1,1.16949,1,1,0,7.62772,0.555107
-9.21229,0.629514,1.16949,1,3,0,9.23519,0.340099
-7.65976,1,1.16949,2,3,0,8.74942,0.494264
-7.80832,0.954731,1.16949,1,1,0,7.92228,0.472241
-7.36208,1,1.16949,2,3,0,7.67661,0.554491
-7.45745,0.932154,1.16949,2,3,0,7.79082,0.733212
-7.42981,0.913348,1.16949,2,3,0,8.14879,0.537595
-7.42981,0.687865,1.16949,1,1,0,8.26173,0.537595
-7.69161,0.921656,1.16949,1,1,0,7.72486,0.489259
-7.86673,0.982304,1.16949,2,3,0,7.98648,0.464374
-7.44814,1,1.16949,1,1,0,7.76192,0.533482
-7.31134,1,1.16949,1,1,0,7.41931,0.569789
-7.21622,0.996517,1.16949,1,3,0,7.32058,0.65204
-7.32009,0.970499,1.16949,1,3,0,7.35788,0.566921
-8.02807,0.896834,1.16949,2,3,0,8.05298,0.802486
