# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = m2x460s_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_data_4.R
# init = 2 (Default)
# random
#   seed = 2571393543 (Default)
# output
#   file = /Users/rob/.julia/dev/StatisticalRethinkingStan/tmp/m2.0s_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
# num_threads = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01445
# Diagonal elements of inverse mass matrix:
# 0.441004
-7.21209,0.804991,1.01445,2,3,0,9.07147,0.627659
-7.21045,0.92281,1.01445,2,3,0,7.61265,0.633853
-7.21389,0.97294,1.01445,2,3,0,7.34926,0.624017
-7.46466,0.938303,1.01445,1,3,0,7.48083,0.52991
-7.2961,0.975595,1.01445,1,3,0,7.63795,0.694811
-7.24404,1,1.01445,1,1,0,7.28444,0.673427
-7.32183,0.750769,1.01445,2,3,0,8.79805,0.702701
-7.22577,1,1.01445,1,3,0,7.29615,0.661601
-8.37938,0.726454,1.01445,1,3,0,8.62665,0.407331
-8.10269,1,1.01445,1,1,0,8.52283,0.435878
-8.10269,0.448402,1.01445,1,1,0,10.1222,0.435878
-7.27533,0.982529,1.01445,1,3,0,8.20501,0.68745
-7.23189,0.869842,1.01445,2,3,0,8.09819,0.666118
-7.58628,0.902945,1.01445,1,3,0,7.71398,0.506547
-7.22521,0.998837,1.01445,2,3,0,7.60631,0.661147
-7.51401,0.933934,1.01445,2,3,0,7.68619,0.74298
-7.84556,0.927461,1.01445,1,1,0,7.86611,0.785267
-8.68321,0.851625,1.01445,1,1,0,8.696,0.847644
-7.23717,0.993358,1.01445,1,3,0,8.55338,0.669503
-7.29928,0.978216,1.01445,1,3,0,7.36933,0.573952
-7.5337,0.973539,1.01445,2,3,0,7.53859,0.516098
-7.91686,0.887463,1.01445,1,1,0,7.9665,0.457911
-8.09675,0.946007,1.01445,1,1,0,8.28406,0.436541
-8.23034,0.959972,1.01445,1,1,0,8.47996,0.422169
-7.21395,1,1.01445,1,3,0,8.09919,0.648689
-7.92447,0.83029,1.01445,1,3,0,8.05116,0.793076
-8.03204,0.978576,1.01445,1,1,0,8.17089,0.80283
-8.62199,0.897404,1.01445,1,1,0,8.68187,0.844183
-7.92112,1,1.01445,1,1,0,8.52188,0.792757
-7.4436,1,1.01445,1,1,0,7.81307,0.730626
-7.27668,0.975096,1.01445,1,3,0,7.58636,0.582576
-7.64027,0.89411,1.01445,1,1,0,7.64028,0.497416
-7.2103,0.971045,1.01445,2,3,0,7.80608,0.635941
-7.2103,0.761318,1.01445,1,3,0,8.14258,0.635941
-8.66048,0.67655,1.01445,1,3,0,8.84012,0.382078
-7.73655,1,1.01445,1,1,0,8.4324,0.482478
-7.34997,0.842799,1.01445,2,3,0,8.63719,0.557881
-7.30094,1,1.01445,1,1,0,7.3544,0.573362
-7.87801,0.832061,1.01445,2,3,0,8.33034,0.788553
-7.47846,1,1.01445,2,3,0,7.79621,0.73698
-7.58592,0.991612,1.01445,2,3,0,7.63178,0.753954
-8.5821,0.730347,1.01445,1,3,0,9.58523,0.388805
-7.90252,1,1.01445,2,3,0,8.49254,0.459734
-7.2719,1,1.01445,1,3,0,7.71232,0.584577
-7.24105,0.96787,1.01445,2,3,0,7.45791,0.671779
-7.30206,0.977979,1.01445,1,3,0,7.37885,0.572971
-7.49876,0.941168,1.01445,1,1,0,7.50597,0.522882
-7.49465,1,1.01445,1,1,0,7.58383,0.523707
-8.55509,0.719961,1.01445,1,1,0,8.56124,0.391176
-7.24578,1,1.01445,1,3,0,8.52009,0.674354
-7.28745,0.806957,1.01445,2,3,0,8.44111,0.691877
-7.28656,1,1.01445,1,1,0,7.30793,0.691565
-8.55745,0.745641,1.01445,1,3,0,8.68817,0.840398
-9.84377,0.82779,1.01445,1,1,0,9.86854,0.896702
-7.44342,0.990634,1.01445,2,3,0,9.87738,0.730593
-7.21747,1,1.01445,1,3,0,7.39883,0.653613
-7.21747,0.236909,1.01445,1,3,0,11.9299,0.653613
-7.21747,0.684645,1.01445,1,3,0,8.43344,0.653613
-7.37852,0.955177,1.01445,1,3,0,7.43115,0.550096
-7.39427,0.995145,1.01445,1,1,0,7.44246,0.546079
-7.92369,0.60597,1.01445,2,3,0,9.57861,0.793002
-7.72664,1,1.01445,1,1,0,7.96122,0.77219
-7.64367,1,1.01445,1,1,0,7.79532,0.761878
-7.21768,1,1.01445,1,3,0,7.57642,0.653853
-7.22328,0.994624,1.01445,2,3,0,7.25098,0.659509
-7.21967,1,1.01445,1,1,0,7.22425,0.656052
-7.21059,0.838066,1.01445,2,3,0,8.14906,0.632858
-7.28289,0.980581,1.01445,1,3,0,7.29937,0.690258
-7.75611,0.909232,1.01445,1,3,0,7.7653,0.775598
-8.54704,0.842073,1.01445,2,3,0,9.49921,0.839774
-7.26823,1,1.01445,1,3,0,8.37401,0.684653
-7.43959,0.944479,1.01445,1,3,0,7.59986,0.535381
-7.83807,0.961088,1.01445,2,3,0,7.86305,0.468187
-8.14539,0.600499,1.01445,2,3,0,10.488,0.431178
-8.14539,0.688661,1.01445,1,3,0,9.81814,0.431178
-7.55958,1,1.01445,1,1,0,8.00303,0.511307
-7.44325,1,1.01445,1,1,0,7.57617,0.534564
-8.93841,0.769799,1.01445,2,3,0,8.95663,0.860887
-9.21017,0.961603,1.01445,1,1,0,9.46842,0.873219
-9.04929,1,1.01445,1,1,0,9.49516,0.866116
-7.29035,1,1.01445,2,3,0,8.63887,0.577214
-7.57349,0.916435,1.01445,1,1,0,7.57546,0.508804
-7.21754,0.996504,1.01445,1,3,0,7.55915,0.653695
-7.23002,0.990056,1.01445,2,3,0,7.27586,0.607259
-7.28022,0.994651,1.01445,2,3,0,7.28118,0.581141
-7.47066,0.943195,1.01445,1,1,0,7.47413,0.528641
-8.4259,0.74344,1.01445,1,1,0,8.43205,0.402923
-7.30945,1,1.01445,1,3,0,8.08955,0.570424
-7.80213,0.934593,1.01445,2,3,0,7.80242,0.473099
-7.49698,1,1.01445,2,3,0,7.75411,0.523238
-7.49698,0.669885,1.01445,1,3,0,9.19745,0.523238
-7.33199,1,1.01445,1,1,0,7.46218,0.563192
-7.83917,0.692693,1.01445,2,3,0,9.15473,0.784607
-8.84105,0.826522,1.01445,1,1,0,8.84478,0.856045
-8.39407,1,1.01445,1,1,0,8.90342,0.830128
-7.31067,0.933553,1.01445,1,3,0,8.73996,0.570015
-7.31067,0.906689,1.01445,1,3,0,7.76786,0.570015
-8.2114,0.494943,1.01445,2,3,0,10.3306,0.817264
-7.21793,0.993132,1.01445,1,3,0,8.12022,0.654151
-8.43647,0.806254,1.01445,2,3,0,8.71177,0.832895
-7.95691,1,1.01445,1,1,0,8.41219,0.796118
-8.54893,0.894604,1.01445,1,1,0,8.59883,0.839888
-8.23362,1,1.01445,1,1,0,8.63559,0.818918
-7.30465,1,1.01445,2,3,0,8.01288,0.572068
-7.72207,0.75173,1.01445,2,3,0,8.73665,0.77165
-7.99925,0.943186,1.01445,1,1,0,8.0627,0.799955
-7.21204,1,1.01445,2,3,0,7.92199,0.627772
-7.21334,0.999623,1.01445,1,1,0,7.21364,0.625014
-7.43338,0.945701,1.01445,1,3,0,7.44793,0.536781
-7.59492,0.983653,1.01445,2,3,0,7.63924,0.505044
-8.82961,0.828473,1.01445,2,3,0,8.83007,0.85546
-7.264,0.92979,1.01445,1,3,0,9.13038,0.588057
-7.35174,0.991782,1.01445,2,3,0,7.35174,0.71071
-8.8011,0.733739,1.01445,1,3,0,8.91687,0.853986
-7.54424,0.987978,1.01445,1,3,0,8.55441,0.747765
-7.2611,1,1.01445,1,3,0,7.47284,0.681655
-7.2611,0.957289,1.01445,1,1,0,7.38339,0.681655
-7.53925,0.964673,1.01445,2,3,0,7.57361,0.515054
-8.11079,0.837144,1.01445,1,1,0,8.14683,0.434977
-8.30647,0.94207,1.01445,1,1,0,8.54972,0.414447
-7.41396,0.940224,1.01445,1,3,0,8.73064,0.724783
-7.94189,0.95611,1.01445,2,3,0,7.96082,0.454776
-7.94189,0.402896,1.01445,1,3,0,10.9159,0.454776
-10.1379,0.524072,1.01445,1,1,0,10.1587,0.284517
-8.24654,1,1.01445,1,1,0,9.67898,0.4205
-8.98617,0.80286,1.01445,1,1,0,9.18828,0.356285
-7.86586,1,1.01445,2,3,0,8.72557,0.787335
-7.4139,0.954008,1.01445,2,3,0,8.31835,0.541302
-7.87389,0.866575,1.01445,1,1,0,7.88963,0.463436
-7.37578,1,1.01445,1,1,0,7.72625,0.550814
-7.72009,0.739803,1.01445,2,3,0,8.80319,0.484927
-7.88825,0.949029,1.01445,1,1,0,8.01756,0.461569
-7.42219,1,1.01445,1,1,0,7.76022,0.539354
-7.26557,0.982441,1.01445,1,3,0,7.53512,0.683561
-7.43213,0.985015,1.01445,2,3,0,7.43233,0.728419
-7.6316,0.984495,1.01445,2,3,0,7.65373,0.760278
-7.23469,0.862133,1.01445,2,3,0,8.85575,0.603961
-7.29376,0.970732,1.01445,2,3,0,7.39933,0.694032
-7.31873,0.993449,1.01445,1,1,0,7.33635,0.701805
-7.2263,0.8416,1.01445,2,3,0,8.36212,0.662027
-7.23147,0.991368,1.01445,2,3,0,7.28262,0.665835
-7.22721,0.766594,1.01445,2,3,0,8.71133,0.662735
-8.12388,0.779014,1.01445,1,3,0,8.33395,0.43353
-8.12388,0.527296,1.01445,1,1,0,9.74406,0.43353
-8.26389,0.648954,1.01445,1,3,0,10.2135,0.821129
-7.6945,1,1.01445,1,1,0,8.16647,0.768328
-7.7858,0.99341,1.01445,2,3,0,7.88191,0.778914
-7.6729,1,1.01445,1,1,0,7.84758,0.765642
-7.4196,1,1.01445,1,1,0,7.6265,0.725931
-7.8446,0.90501,1.01445,1,1,0,7.84729,0.785168
-7.27968,0.957818,1.01445,1,3,0,8.03936,0.581356
-7.27968,0.494393,1.01445,1,3,0,9.63195,0.581356
-7.32046,0.98764,1.01445,1,1,0,7.3348,0.566803
-7.32046,0.660628,1.01445,1,3,0,8.84652,0.566803
-7.40115,0.975458,1.01445,1,1,0,7.42236,0.544378
-8.0085,0.827812,1.01445,1,1,0,8.0158,0.4467
-7.81938,1,1.01445,1,1,0,8.10619,0.470722
-7.22207,0.996941,1.01445,1,3,0,7.7907,0.658408
-7.25271,0.991525,1.01445,1,1,0,7.25299,0.677826
-7.22395,0.99503,1.01445,1,3,0,7.28069,0.612189
-7.21221,0.957554,1.01445,2,3,0,7.44125,0.645301
-7.21226,0.830732,1.01445,2,3,0,8.17892,0.645416
-7.23039,0.997172,1.01445,2,3,0,7.23332,0.606986
-7.21536,0.978676,1.01445,2,3,0,7.34305,0.650873
-7.21039,0.995131,1.01445,2,3,0,7.24229,0.634388
-7.41651,0.946269,1.01445,1,3,0,7.45962,0.725303
-7.24704,1,1.01445,2,3,0,7.37514,0.596506
-7.52415,0.911033,1.01445,1,3,0,7.70841,0.744615
-7.27712,0.971201,1.01445,1,3,0,7.67741,0.582394
-7.32008,0.98699,1.01445,1,1,0,7.33341,0.566925
-7.23299,1,1.01445,2,3,0,7.2941,0.605123
-7.88473,0.760292,1.01445,2,3,0,8.5969,0.462025
-7.21116,0.964123,1.01445,2,3,0,8.09341,0.642371
-7.40824,0.948181,1.01445,1,3,0,7.44423,0.542655
-7.28432,0.978977,1.01445,1,3,0,7.55633,0.690772
-7.22044,0.889898,1.01445,2,3,0,7.97847,0.656842
-8.61529,0.682659,1.01445,1,3,0,8.91287,0.843796
-7.21186,0.961205,1.01445,1,3,0,8.64817,0.628237
-7.22902,0.996031,1.01445,1,3,0,7.22927,0.608012
-7.21491,0.981179,1.01445,2,3,0,7.32874,0.650206
-7.21086,0.999374,1.01445,2,3,0,7.21893,0.641193
-7.21048,1,1.01445,1,1,0,7.21076,0.639117
-7.21664,0.939578,1.01445,2,3,0,7.52775,0.619928
-7.58359,0.9109,1.01445,1,3,0,7.60466,0.507018
-7.88465,0.910457,1.01445,1,1,0,7.95624,0.462035
-7.88465,0.628244,1.01445,1,1,0,9.01469,0.462035
-7.42324,1,1.01445,1,1,0,7.75853,0.539109
-7.91684,0.671514,1.01445,2,3,0,9.29986,0.457913
-7.72283,1,1.01445,1,1,0,7.98285,0.484516
-7.83248,0.988812,1.01445,2,3,0,7.97169,0.46894
-7.42919,1,1.01445,1,1,0,7.72918,0.537735
-7.67431,0.926509,1.01445,1,1,0,7.70885,0.491955
-7.8858,0.662985,1.01445,2,3,0,9.75209,0.461886
-7.34617,1,1.01445,2,3,0,7.78657,0.709295
-7.38603,0.98989,1.01445,1,1,0,7.41394,0.718814
-7.65013,0.938047,1.01445,1,1,0,7.65835,0.762724
-7.69322,0.990391,1.01445,1,1,0,7.79149,0.76817
-7.33717,1,1.01445,1,1,0,7.60561,0.706939
-7.21246,0.994639,1.01445,2,3,0,7.36934,0.645851
-7.37415,0.960854,1.01445,1,3,0,7.39146,0.716116
-7.25296,0.981589,1.01445,2,3,0,7.52298,0.677947
